,DUNS,DCOMP,DTRADE,DSTREET,DCITY,DSTATEAB,DZIP5,DZIP4EXT,DMAILADD,DMAILCIT,DMAILSTA,DMAILZIP,DMAILZP4,DCARRRTC,FILLER1,DNATLCOD,DSTATECO,DCOUNTYC,DCITYCOD,DSMSACOD,DTELEPHO,DCEONAME,DCEOTITT,DSALESVO,DSLSVOLC,DEMPLTOT,DEMPTOTC,DEMPLHER,DEMPHRCD,DYRSTART,DSTATUSI,DSUBSIDI,DMANUFIN,DULTDUN,DHDQDUN,DPARDUN,DPRHQCT,DPRHQST,FILLER2,FILLER3,DHIER,DDIAS,DPOPLCD,DTRANCD,DRPTDAT,FILLER4,DRCRDCL,DLINEBU,DPRIMSI,DSICEXT1,DSICEXT2,DSICEXT3,DSICEXT4,DSIC2,DSIC3,DSIC4,DSIC5,DSIC6
10,001000470,FEELEYS COMPANY INC,,232 WATER ST 238,QUINCY,MA,02169,6539,,,,,,C018,,000,41,731,6458,082,6177731711.0,STEPHEN A FEELEY,PRESIDENT,000000001000000,0.0,000000007,0.0,000000007,0.0,1954.0,0.0,0.0,0.0,,,,,,022Y112,0.0,,,9.0,3.0,221211,,0.0,MTL CTNG ALLD SVCS,3479,0204,,,,,,,,
11,001000491,E & P EXCAVATION,,92-639 MEHANI ST,KAPOLEI,HI,96707,1158,P O BOX 700681,KAPOLEI,HI,96709,0681,B012,,000,21,399,3840,244,8086728851.0,PER SOLEM,PARTNER,000000000200000,2.0,000000002,0.0,000000002,0.0,1994.0,0.0,0.0,1.0,,,,,,074Y332,0.0,,,9.0,3.0,100228,,0.0,EXCAVATION WORK,1794,0000,,,,,,,,
12,001000553,JAMES A KILEY COMPANY,,15 LINWOOD ST,SOMERVILLE,MA,02143,2112,,,,,,C002,,000,41,599,7095,082,6177760344.0,JOHN C KILEY,PRESIDENT,000000010298376,2.0,000000045,0.0,000000045,0.0,1890.0,0.0,0.0,0.0,,,,,,022Y112,0.0,,,9.0,3.0,201213,,0.0,TRUCK BUS BODIES,3713,0102,,,,,,,,
13,001000574,BRETHREN CHRIST INTERNATIONAL,,94-133 PAHU ST,WAIPAHU,HI,96797,3066,P O BOX 971195,WAIPAHU,HI,96797,8195,B010,,000,21,399,9821,244,8086764673.0,RODRIGO ALMOSARA,PRESIDENT,000000000227673,0.0,000000003,0.0,000000003,0.0,1993.0,0.0,0.0,1.0,,,,,,074Y332,0.0,,,9.0,3.0,210915,,0.0,RELIGIOUS ORGNZTNS,8661,0121,,,,,,,,
14,001000657,ASHBEE POTTERY,,199 HIGHLAND AVE,NORWALK,CT,06853,1110,,,,,,C002,,000,13,112,5525,418,2038663081.0,SUSAN MARICONDA,OWNER,000000000060110,2.0,000000001,0.0,000000001,0.0,2005.0,0.0,0.0,1.0,,,,,,118Y804,0.0,,,9.0,3.0,221113,,0.0,MISC HMFRNSHNGS STR,5719,9906,,,,,,,,
15,001000694,GOOD AIR CONDITIONING & HTG,,1413 E CONCORD ST,BROKEN ARROW,OK,74012,9259,,,,,,R019,,000,71,884,1291,610,9183694884.0,HAROLD GOOD,OWNER,000000000202138,2.0,000000002,0.0,000000002,0.0,1980.0,0.0,0.0,1.0,,,,,,170Y856,0.0,,,9.0,3.0,221120,,0.0,PLBNG HTNG AIR-CO,1711,0405,,,,,,,,
16,001000707,JILLSON FARM,,143 JORDAN BRIDGE RD,SABATTUS,ME,04280,4201,,,,,,R014,,000,37,065,7093,,2073754486.0,ED JILLSON,OWNER,000000000167531,2.0,000000002,0.0,000000002,0.0,2000.0,0.0,0.0,1.0,,,,,,130Y424,0.0,,,7.0,3.0,221113,,0.0,GEN FARMS PRIM CRO,0191,0000,,,,,,,,
17,001000756,AFFORDABLE AIR CONDITIONING,P R ENTERPRISE,91-483 PUPU ST,EWA BEACH,HI,96706,2358,P O BOX 2159,EWA BEACH,HI,96706,0159,B002,,000,21,399,0551,244,8086897735.0,KAREN WENKE,PRINCIPAL,000000000235224,2.0,000000004,0.0,000000004,0.0,2000.0,0.0,0.0,1.0,,,,,,074Y332,0.0,,,9.0,3.0,221120,,0.0,PLBNG HTNG AIR-CO,1711,0405,0400,,,,,,,
18,001000801,HELFRICH JOHN,FARMERS INSURANCE,419 GRAND AVE,SOUTH SAN FRANCISCO,CA,94080,3635,,,,,,C043,,000,09,684,7811,526,6505839460.0,JOHN HELFRICH,OWNER,000000000375337,0.0,000000001,0.0,000000001,0.0,1989.0,0.0,0.0,1.0,,,,,,146Y736,0.0,,,9.0,3.0,221113,,0.0,INSURANCE AGNTS SV,6411,0000,,,,,,,,
19,001000905,LABOR EMPLOYMENT SEC FLA DEPT,BUREAU OF COMPLIANCE,12381 S CLEVELAND AVE,FORT MYERS,FL,33907,3893,,,,,,C100,,000,17,528,2959,197,,JOE KELLERMAN,MANAGER,000000000000000,,000000000,,000000025,2.0,,2.0,0.0,1.0,004078374,809396732,,Tallahassee,FL,148Y270,0.0,03,002383508,9.0,3.0,210723,,2.0,RGLTN MISC CM SCTRS,9651,0200,0402,,,,,,,
20,001000921,RELIABLE DRIVING SCH,,1518 E PASSYUNK AVE,PHILADELPHIA,PA,19147,6323,,,,,,C003,,000,75,752,5193,445,2157551355.0,JOE TORITTO,PRINCIPAL,000000000053240,2.0,000000002,0.0,000000002,0.0,2000.0,0.0,0.0,1.0,,,,,,127Y616,0.0,,,9.0,3.0,221002,,0.0,SCLS EDCTL SVCS N,8299,0401,,,,,,,,
21,001000947,STITCH THIS LLC,,1059 12TH AVE STE C,HONOLULU,HI,96816,2269,,,,,,C032,,000,21,399,2477,244,8087396739.0,TIM ROBINS,MEMBER,000000000084468,2.0,000000001,0.0,000000001,0.0,1999.0,0.0,0.0,1.0,,,,,,074Y332,0.0,,,9.0,3.0,221120,,0.0,MISC RTL STRS NEC,5999,9904,,,,,,,,
22,001001049,SPINELLI RAVIOLI MFG CO INC,SPINELLI BKY RAVIOLI PASTRY SP,282 BENNINGTON ST,BOSTON,MA,02128,1447,,,,,,C027,,000,41,863,0894,082,6175671992.0,RITA ROBERTO,PRESIDENT,000000003308319,2.0,000000025,0.0,000000025,0.0,1983.0,0.0,0.0,0.0,,,,,,022Y112,0.0,,,9.0,3.0,221203,,0.0,MACARONI SPAGHETTI,2098,0000,,,,20330111,58129903,20510000.0,54610000.0,
23,001001119,GRAM MAY OF NJ INC,,101 US HIGHWAY 46 STE 136,PINE BROOK,NJ,07058,9608,,,,,,R033,,000,59,634,6943,409,9738088400.0,DOMINIC MAY,PRINCIPAL,000000000048760,2.0,000000001,2.0,000000001,2.0,2000.0,0.0,0.0,1.0,,,,,,118Y564,0.0,,,8.0,3.0,221120,,0.0,BUS SERVICES NEC,7389,0100,,,,,,,,
24,001001127,GREEN TARA HAWAII,,,KAMUELA,HI,96743,,P O BOX 2558,KAMUELA,HI,96743,2558,B043,,000,21,199,3557,,,EVELYN MC CARTHY,OWNER,000000000079000,2.0,000000001,0.0,000000001,0.0,2005.0,0.0,0.0,1.0,,,,,,074Y000,0.0,,,7.0,3.0,100307,,2.0,RL ESTE AGNTS MGRS,6531,0400,,,,70320000,,,,
25,001001143,TOSCO MUSIC PARTIES INC,,4953 ALBEMARLE RD,CHARLOTTE,NC,28205,6617,,,,,,C004,,000,65,595,1649,112,7045689685.0,JOHN TOSCO,PRESIDENT,000000000262648,0.0,000000001,0.0,000000001,0.0,1999.0,0.0,0.0,1.0,,,,,,031Y152,0.0,,,9.0,3.0,221120,,0.0,SCLS EDCTL SVCS N,8299,0302,,,,,,,,
26,001001155,BOSTON BRASS AND IRON CO,,129 N WASHINGTON ST,BOSTON,MA,02114,2115,,,,,,C016,,000,41,863,0894,082,,JAMES SCAPICCHIO,OWNER,000000000080697,2.0,000000001,0.0,000000001,0.0,1965.0,0.0,0.0,0.0,,,,,,022Y112,0.0,,,9.0,3.0,221002,,2.0,HARDWARE NEC,3429,0104,,,,76920000,,,,
27,001001168,JCR CORPORATION,JAPAN CELL PHONE RENTALS,98-707 IHO PL APT 501,AIEA,HI,96701,2523,P O BOX 159152,HONOLULU,HI,96830,1002,B063,,000,21,399,0101,244,,MARK ALLEN,PRESIDENT,000000000220704,2.0,000000002,0.0,000000002,0.0,1998.0,0.0,0.0,1.0,,,,,,074Y332,0.0,,,9.0,3.0,220731,,2.0,EQPT RNTL LSING N,7359,0504,,,,59990603,,,,
28,001001171,HANCOCK MARINE INC,,300 RIVER ST,FALL RIVER,MA,02720,1621,P O BOX 9341,FALL RIVER,MA,02720,0006,B006,,000,41,203,2818,184,5086780301.0,ARTHUR V HANCOCK,PRESIDENT,000000000508739,2.0,000000003,0.0,000000003,0.0,1935.0,0.0,0.0,0.0,,,,,,022Y648,0.0,,,9.0,3.0,221120,,0.0,STL WIRE RLTD PRDS,3315,0300,,,,34290402,35310814,,,
29,001001184,TRILLION CORPORATION,,,HONOLULU,HI,96830,,P O BOX 8060,HONOLULU,HI,96830,0060,B001,,000,21,399,2477,244,8089266252.0,TOYOKAZU NAKAYAMA,PRESIDENT,000000000343391,2.0,000000002,0.0,000000002,0.0,1996.0,0.0,0.0,1.0,,,,,,074Y332,0.0,,,9.0,3.0,221120,,0.0,TRAVEL AGENCIES,4724,0000,,,,,,,,
30,001001192,HAWAII STATE CHRPRCTIC ASSN IN,,410 ATKINSON DR,HONOLULU,HI,96814,4730,P O BOX 22668,HONOLULU,HI,96823,2668,B006,,000,21,399,2477,244,8089268883.0,JOSEPH MORELLI,PRESIDENT,000000000050000,0.0,000000003,0.0,000000003,0.0,1986.0,0.0,0.0,1.0,,,,,,074Y332,0.0,,,9.0,3.0,221204,,0.0,BUSINESS ASSOCIATNS,8611,0100,,,,89991002,,,,
31,001001221,MODERN HEATING AC & COML RFRGN,MODERN HEATING AC & COMMER,395 FREEPORT BLVD STE 14,SPARKS,NV,89431,6239,P O BOX 5118,SPARKS,NV,89432,5118,B047,,000,55,884,8378,484,,KEN SMITH,PRESIDENT,000000000160000,0.0,000000002,0.0,000000002,0.0,1981.0,0.0,0.0,1.0,,,,,,136Y672,0.0,,,8.0,3.0,220605,,2.0,PLBNG HTNG AIR-CO,1711,0405,9901,,,,,,,
32,001001259,WORDSCAPE COMMUNICATIONS INC,,3809 SUMMIT LAKES DR,BROWNS SUMMIT,NC,27214,9009,,,,,,R004,,000,65,405,1161,229,3366565348.0,BERNADETTE HEARNE,PRESIDENT,000000000040000,2.0,000000001,0.0,000000001,0.0,1998.0,0.0,0.0,1.0,,,,,,066Y312,0.0,,,8.0,3.0,201206,,0.0,TV BROADCASTG STTNS,4833,0000,,,,,,,,
33,001001325,STANDGUARD SECURITY,,7219 GREENLEAF AVE,CLEVELAND,OH,44130,5022,,,,,,C008,,000,69,196,1661,124,4408887420.0,RONALD K GIAMMARIA,OWNER,000000000062920,2.0,000000001,0.0,000000001,0.0,2000.0,0.0,0.0,1.0,,,,,,035Y168,0.0,,,9.0,3.0,221127,,0.0,SECURITY SYS SVCS,7382,0000,,,,59990101,,,,
34,001001333,GOLD LEAF HOME IMPROVEMENT,RICHARD ADAMCHICK,38 CLIFF ST,NAUGATUCK,CT,06770,3943,,,,,,C005,,000,13,556,4661,631,,RICHARD ADAMCHICK,OWNER,000000000040000,0.0,000000001,0.0,000000001,0.0,2000.0,0.0,0.0,1.0,,,,,,118Y888,0.0,,,9.0,3.0,221120,,2.0,SNGL-FAM HSNG CNSTR,1521,0101,,,,73899999,,,,
35,001001374,DOUGLAS SIGNATURE HOMES,,10266 LAPEER RD,DAVISON,MI,48423,8172,,,,,,R011,,000,43,313,2237,193,8106540107.0,JEFFREY JACKSON,PRINCIPAL,000000000131829,2.0,000000002,2.0,000000002,2.0,2000.0,0.0,0.0,1.0,,,,,,047Y264,0.0,,,8.0,3.0,220314,,0.0,SNGL-FAM HSNG CNSTR,1521,9901,,,,,,,,
36,001001379,TFSP INC,L & M BAKERY,351 WILLOW ST,NORTH ANDOVER,MA,01845,5921,,,,,,R003,,000,41,335,5353,304,9786877346.0,RICK FERMOYLE,PRESIDENT,000000001368867,2.0,000000012,0.0,000000010,0.0,1948.0,1.0,0.0,1.0,001001379,001001379,,,,022Y416,0.0,01,002535825,9.0,3.0,221005,,0.0,RETAIL BAKERIES,5461,0000,,,,,,,,
37,001001416,J & S MARKET,,7691 TUNNELTON RD,BEDFORD,IN,47421,7863,,,,,,R015,,000,27,505,0598,,8128490757.0,JIM RAY,OWNER,000000000069371,2.0,000000001,0.0,000000001,0.0,2000.0,0.0,0.0,1.0,,,,,,078Y000,0.0,,,5.0,3.0,221204,,0.0,GROCERY STORES,5411,9905,,,,,,,,
38,001001429,US CUTTING CHAIN MFG CO INC,,95 SPARK ST,BROCKTON,MA,02302,1706,P O BOX 437,BROCKTON,MA,02303,0437,B004,,000,41,797,1063,088,5085880322.0,RICHARD LE DUC JR,PRESIDENT,000000000500000,2.0,000000005,0.0,000000005,0.0,1965.0,0.0,0.0,0.0,,,,,,022Y120,0.0,,,8.0,3.0,221120,,0.0,MACHINE TOOL ACCS,3545,0000,,,,50840305,,,,
39,001001432,BAPTIST STUDENT MINISTRY,,50 AMSTEL AVE,NEWARK,DE,19711,7964,,,,,,C004,,000,15,499,6719,652,,BLAKE HARDCASTLE,PASTOR,000000000087148,2.0,000000002,0.0,000000002,0.0,1996.0,0.0,0.0,1.0,,,,,,127Y916,0.0,,,9.0,3.0,191103,,2.0,RELIGIOUS ORGNZTNS,8661,0203,,,,,,,,
40,001001473,DAYS EXCAVATING,,5683 STATE ROUTE 308,KENNERDELL,PA,16374,2205,,,,,,R002,,000,75,892,3339,,8143856505.0,JEFF DAY,OWNER,000000000100000,2.0,000000001,0.0,000000001,0.0,1993.0,0.0,0.0,1.0,,,,,,052Y000,0.0,,,6.0,3.0,221120,,0.0,EXCAVATION WORK,1794,0000,,,,,,,,
41,001001478,NATIONAL NONWOVENS INC,,110 PLEASANT ST,EASTHAMPTON,MA,01027,1342,P O BOX 150,EASTHAMPTON,MA,01027,0150,B099,,000,41,533,2402,571,4135273445.0,ANTHONY J CENTOFANTI,CHAIRMAN OF THE BOARD,000000032733689,2.0,000000150,0.0,000000075,0.0,1905.0,1.0,0.0,1.0,001001478,001001478,,,,072Y800,0.0,01,001782192,7.0,3.0,201213,,0.0,FABRIC MILLS WOOL,2231,0303,,,,22970000,,,,
42,001001494,BOSTON STEEL FABRICATORS INC,,610 SOUTH ST,HOLBROOK,MA,02343,1300,P O BOX 310,HOLBROOK,MA,02343,0310,B004,,000,41,731,3650,082,7817671540.0,BARRY BROWN,PRESIDENT,000000005690801,0.0,000000009,0.0,000000009,0.0,1956.0,0.0,0.0,0.0,,,,,,022Y112,0.0,,,9.0,3.0,221204,,0.0,FBRCTED STRCTRL MTL,3441,9901,,,,34460600,,,,
43,001001544,US SLIDE FASTENER CORP,,157 GROVE ST STE 60,FRANKLIN,MA,02038,3193,,,,,,R005,,000,41,731,3039,082,5085530814.0,CINDY RUBY-BROWN,PRESIDENT,000000001441535,0.0,000000005,0.0,000000005,0.0,2012.0,0.0,0.0,1.0,,,,,,022Y112,0.0,,,9.0,3.0,221120,,0.0,PIECE GDS NOTIONS,5131,0216,,,,,,,,
44,001001630,GMH CONSTRUCTION INC,,W228N727 WESTMOUND DR,WAUKESHA,WI,53186,7002,,,,,,C065,,000,97,903,8653,367,4145874209.0,GREG PERKINS,PRESIDENT,000000000278444,2.0,000000004,0.0,000000004,0.0,1995.0,0.0,0.0,1.0,,,,,,108Y508,0.0,,,8.0,3.0,221127,,0.0,SNGL-FAM HSNG CNSTR,1521,0101,,,,,,,,
45,001001668,H LOEB CORPORATION,,419 SAWYER ST UNIT 2,NEW BEDFORD,MA,02746,5605,,,,,,C010,,000,41,203,5106,391,5089963745.0,GEOFFREY FAUCHER,PRESIDENT,000000004168233,2.0,000000020,0.0,000000020,0.0,1948.0,0.0,0.0,0.0,,,,,,022Y540,0.0,,,9.0,3.0,210802,,0.0,NCUR-CRYNG WRNG DVC,3644,9902,,,,30839901,26750000,,,
46,001001676,PRECISION SYSTEMS INC,,16 TECH CIR STE 100,NATICK,MA,01760,1038,,,,,,C027,,000,41,599,5054,082,5086557010.0,CHARLES A BELL,PRESIDENT,000000004185146,2.0,000000025,1.0,000000025,1.0,1962.0,0.0,0.0,0.0,,,,,,022Y112,0.0,,,9.0,3.0,201213,,0.0,SRGL MDCL INSTRMNT,3841,0000,,,,38260000,,,,
47,001001689,REDFIELDS WOODS WTR TAXIDERMY,,620 GEORGE HILL RD,CRANBERRY,PA,16319,3702,,,,,,R011,,000,75,892,1454,,8146766826.0,JOSEPH REDFIELD,PRINCIPAL,000000000055074,2.0,000000001,0.0,000000001,0.0,1999.0,0.0,0.0,1.0,,,,,,052Y000,0.0,,,6.0,3.0,221120,,0.0,REPAIR SVCS NEC,7699,2702,,,,,,,,
48,001001767,ECKEL INDUSTRIES INC,ECKOUSTIC DIVISION,100 GROTON SHIRLEY RD,AYER,MA,01432,1047,,,,,,C002,,000,41,599,0504,,9787720840.0,ALEX ECKEL,PRESIDENT,000000009645259,0.0,000000052,0.0,000000012,0.0,1952.0,1.0,0.0,0.0,001001767,001001767,,,,022Y112,0.0,01,000934119,9.0,3.0,220425,,0.0,MINERAL WOOL,3296,9901,,,,34460400,34449904,,,
49,001001796,D SIGN RS,,112 CRAWFORD ST,OIL CITY,PA,16301,1626,,,,,,C020,,000,75,892,4953,,8146782514.0,SHIELA PORTER,OWNER,000000000014752,2.0,000000003,0.0,000000003,0.0,1998.0,0.0,0.0,0.0,,,,,,052Y000,0.0,,,6.0,3.0,220419,,0.0,SIGNS ADVT SPCLTIE,3993,0000,,,,,,,,
50,001001911,CREATIVE WEB INC,CW MEDIA,104 BRIGANTINE BLVD,WARETOWN,NJ,08758,2676,,,,,,R806,,000,59,679,9110,,,JOHN RAOMONO JR,PRESIDENT,000000001295956,2.0,000000014,2.0,000000014,2.0,2003.0,0.0,0.0,1.0,,,,,,118Y519,0.0,,,9.0,3.0,221120,,2.0,DATA PROC PREPARAT,7374,0102,,,,,,,,
51,001001924,BANC ONE CAPITAL MARKETS INC,BANC ONE,1 BANK ONE PLZ,CHICAGO,IL,60670,0001,,,,,,C000,,000,25,180,1691,118,8009927169.0,DAVID H SCHABES,CHAIRMAN OF THE BOARD,000000102325715,2.0,000001352,0.0,000001300,0.0,2004.0,1.0,3.0,1.0,047675947,001001924,144647393.0,New York,NY,032Y160,0.0,03,001442919,9.0,3.0,220926,,0.0,SECURITY BRKRS DLR,6211,0102,0202,,,62820000,,,,
52,001001929,SLAB STREET STORAGE,,166 OSSIPEE TRL,LIMINGTON,ME,04049,3707,P O BOX 355,LIMINGTON,ME,04049,0355,B006,,000,37,935,4341,,2076373412.0,SUE WESCOTT,OWNER,000000000015000,0.0,000000001,0.0,000000001,0.0,2000.0,0.0,0.0,1.0,,,,,,130Y640,0.0,,,7.0,3.0,221120,,0.0,GENRL WRHSG STORAG,4225,0000,,,,,,,,
53,001001940,WEST END & HUB SPRING COMPANY,WEHSCO,146 CAMPANELLI PKWY,STOUGHTON,MA,02072,3744,,,,,,C015,,000,41,731,7875,082,,JOEL Z KESSEL,PRESIDENT,000000002861427,2.0,000000032,2.0,000000032,2.0,1905.0,0.0,0.0,0.0,,,,,,022Y112,0.0,,,9.0,3.0,210715,,2.0,METAL HSEHLD FURNTR,2514,0100,0102,,,,,,,
54,001001945,JEWEL DIGITAL DESIGN INC,,4846 N CEDAR RD,MOUNT MORRIS,IL,61054,9605,,,,,,R001,,000,25,675,5861,,8157344419.0,DEBRA TONEY,PRESIDENT,000000000110000,2.0,000000002,0.0,000000002,0.0,1999.0,0.0,0.0,0.0,,,,,,032Y688,0.0,,,6.0,3.0,221120,,0.0,STL WIRE RLTD PRDS,3315,0305,,,,,,,,
55,001001952,LABOR EMPLOYMENT SEC FLA DEPT,BUREAU REHABILITATION MED SVCS,12381 S CLEVELAND AVE,FORT MYERS,FL,33907,3893,,,,,,C100,,000,17,528,2959,197,2398485392.0,MITT ADAMS,MANAGER,000000000000000,,000000000,,000000006,0.0,,2.0,0.0,1.0,004078374,809396732,,Tallahassee,FL,148Y270,0.0,03,002383509,9.0,3.0,170921,,0.0,RGLTN MISC CM SCTRS,9651,0200,0402,,,,,,,
56,001002021,ROCK PORT CITY OF,ROCK PORT MUNICIPAL UTILITIES,102 W CLAY ST,ROCK PORT,MO,64482,1508,,,,,,C002,,000,49,060,4403,,6607442676.0,TREVOR HALE,SUPERINTENDENT,000000000000000,,000000000,,000000008,0.0,,2.0,0.0,1.0,171047988,171047988,,Rock Port,MO,120Y000,0.0,01,000574274,3.0,3.0,221120,,0.0,RGLTN ADM UTILITIE,9631,0404,,,,,,,,
57,001002047,HYTEX INDUSTRIES INC,HYTEX DECORATIVE TEXTILES,67 PACELLA PARK DR,RANDOLPH,MA,02368,1755,,,,,,C010,,000,41,731,6484,082,7819634400.0,JEREMIAH J MCQUILLEN,PRESIDENT,000000004809174,2.0,000000021,0.0,000000021,0.0,1978.0,0.0,0.0,0.0,,,,,,022Y112,0.0,,,9.0,3.0,220824,,0.0,UNSPTD PLSTC FLM S,3081,9902,0100,,,30890100,30690100,,,
58,001002054,BOMAS MACHINE SPECIALTIES INC,,6 JEFFERSON AVE,WOBURN,MA,01801,4325,,,,,,C016,,000,41,599,9474,082,6176283831.0,JOSEPH ANNESE,PRESIDENT,000000001398677,2.0,000000010,0.0,000000010,0.0,1959.0,0.0,0.0,0.0,,,,,,022Y112,0.0,,,9.0,3.0,221120,,0.0,OPHTHALMIC GOODS,3851,0104,,,,,,,,
59,001002067,CHOCTAW ERECTORS INC,,1865 FM 2264,DECATUR,TX,76234,5214,P O BOX 156506,FORT WORTH,TX,76155,1506,B014,,000,85,843,2213,142,9727902255.0,KEVIN BALL,PRESIDENT,000000008014943,2.0,000000040,0.0,000000040,0.0,1999.0,0.0,0.0,1.0,,,,,,042Y000,0.0,,,6.0,3.0,210110,,0.0,STRUCT STEEL ERCTN,1791,9905,,,,,,,,
60,001002091,LB CONCRETE PUMPING INC,,5024 INDIALANTIC DR,ORLANDO,FL,32808,4506,,,,,,C010,,000,17,696,6844,433,,LENELL BORNES,PRESIDENT,000000000349993,2.0,000000005,2.0,000000005,2.0,2002.0,0.0,0.0,1.0,,,,,,121Y596,0.0,,,9.0,3.0,220524,,2.0,CONCRETE WORK,1771,9901,,,,,,,,
